cellular_organisms	Bacteria
Bacteria	Fusobacteria
Bacteria	unclassified_Bacteria
Bacteria	Proteobacteria
Bacteria	FCB_group
Bacteria	PVC_group
Bacteria	Terrabacteria_group
Bacteria	Synergistetes
FCB_group	Bacteroidetes/Chlorobi_group
Proteobacteria	delta/epsilon_subdivisions
Proteobacteria	Betaproteobacteria
Proteobacteria	Gammaproteobacteria
PVC_group	Verrucomicrobia
Terrabacteria_group	Firmicutes
Terrabacteria_group	Actinobacteria
Terrabacteria_group	Deinococcus-Thermus
unclassified_Bacteria	Bacteria_candidate_phyla
Synergistetes	Synergistia
Fusobacteria	Fusobacteriia
Gammaproteobacteria	Pasteurellales
Gammaproteobacteria	Enterobacterales
Bacteria_candidate_phyla	Candidatus_Saccharibacteria
Firmicutes	Clostridia
Firmicutes	Erysipelotrichia
Firmicutes	Negativicutes
Firmicutes	Bacilli
Actinobacteria	Coriobacteriia
Actinobacteria	Actinobacteria
Betaproteobacteria	Burkholderiales
Betaproteobacteria	Neisseriales
delta/epsilon_subdivisions	Deltaproteobacteria
delta/epsilon_subdivisions	Epsilonproteobacteria
Bacteroidetes/Chlorobi_group	Bacteroidetes
Verrucomicrobia	Verrucomicrobiae
Fusobacteriia	Fusobacteriales
Synergistia	Synergistales
Deinococcus-Thermus	Deinococci
Negativicutes	Selenomonadales
Negativicutes	Acidaminococcales
Negativicutes	Veillonellales
Clostridia	Clostridiales
Deltaproteobacteria	Desulfovibrionales
Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_noname_class
Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_noname_class
Pasteurellales	Pasteurellaceae
Synergistales	Synergistaceae
Deinococci	Deinococcales
Coriobacteriia	Coriobacteriales
Coriobacteriia	Eggerthellales
Verrucomicrobiae	Verrucomicrobiales
Actinobacteria	Micrococcales
Actinobacteria	Bifidobacteriales
Actinobacteria	Actinomycetales
Erysipelotrichia	Erysipelotrichales
Burkholderiales	Burkholderiaceae
Burkholderiales	Sutterellaceae
Burkholderiales	Comamonadaceae
Burkholderiales	Oxalobacteraceae
Burkholderiales	unclassified_Burkholderiales
Epsilonproteobacteria	Campylobacterales
Fusobacteriales	Fusobacteriaceae
Fusobacteriales	Leptotrichiaceae
Enterobacterales	Enterobacteriaceae
Enterobacterales	Erwiniaceae
Bacilli	Bacillales
Bacilli	Lactobacillales
Bacteroidetes	Bacteroidia
Bacteroidetes	Flavobacteriia
Neisseriales	Neisseriaceae
Desulfovibrionales	Desulfovibrionaceae
Selenomonadales	Selenomonadaceae
Bifidobacteriales	Bifidobacteriaceae
Acidaminococcales	Acidaminococcaceae
Candidatus_Saccharibacteria_noname_class	Candidatus_Saccharibacteria_noname_order
Candidatus_Saccharibacteria_noname_class	Candidatus_Saccharibacteria_noname_order
Burkholderiaceae	Lautropia
Verrucomicrobiales	Akkermansiaceae
Neisseriaceae	Neisseria
Neisseriaceae	Eikenella
Fusobacteriaceae	Fusobacterium
Bacillales	Staphylococcaceae
Bacillales	Bacillales_incertae_sedis
Oxalobacteraceae	Oxalobacter
Bacteroidia	Bacteroidales
Lactobacillales	Enterococcaceae
Lactobacillales	Leuconostocaceae
Lactobacillales	Streptococcaceae
Lactobacillales	Lactobacillaceae
Lactobacillales	Carnobacteriaceae
Comamonadaceae	Comamonas
Coriobacteriales	Atopobiaceae
Coriobacteriales	Coriobacteriaceae
Flavobacteriia	Flavobacteriales
Eggerthellales	Eggerthellaceae
Pasteurellaceae	Haemophilus
Pasteurellaceae	Actinobacillus
Pasteurellaceae	Aggregatibacter
Campylobacterales	Campylobacteraceae
Micrococcales	Micrococcaceae
Clostridiales	Lachnospiraceae
Clostridiales	Ruminococcaceae
Clostridiales	Clostridiaceae
Clostridiales	Eubacteriaceae
Clostridiales	unclassified_Clostridiales
Clostridiales	Peptostreptococcaceae
Clostridiales	Clostridiales_incertae_sedis
Clostridiales	Oscillospiraceae
Deinococcales	Deinococcaceae
Enterobacteriaceae	Escherichia
Enterobacteriaceae	Klebsiella
Enterobacteriaceae	Enterobacter
Enterobacteriaceae	Citrobacter
Enterobacteriaceae	Raoultella
Erwiniaceae	Pantoea
Veillonellales	Veillonellaceae
unclassified_Burkholderiales	unclassified_Burkholderiales__miscellaneous
Sutterellaceae	unclassified_Sutterellaceae
Sutterellaceae	Parasutterella
Sutterellaceae	Sutterella
Synergistaceae	Pyramidobacter
Erysipelotrichales	Erysipelotrichaceae
Leptotrichiaceae	Leptotrichia
Leptotrichiaceae	unclassified_Leptotrichiaceae
Actinomycetales	Actinomycetaceae
Staphylococcaceae	Staphylococcus
Actinobacillus	unclassified_Actinobacillus_species
Actinomycetaceae	Actinomyces
Candidatus_Saccharibacteria_noname_order	Candidatus_Saccharibacteria_noname_family
Candidatus_Saccharibacteria_noname_order	Candidatus_Saccharibacteria_noname_family
Klebsiella	Klebsiella_oxytoca
Klebsiella	Klebsiella_pneumoniae
Klebsiella	unclassified_Klebsiella_species
Bacteroidales	Tannerellaceae
Bacteroidales	Bacteroidaceae
Bacteroidales	Prevotellaceae
Bacteroidales	Rikenellaceae
Bacteroidales	Odoribacteraceae
Bacteroidales	Barnesiellaceae
Bacteroidales	Bacteroidales_noname_family
Clostridiaceae	Clostridium
Clostridiaceae	Butyricicoccus
Clostridiaceae	unclassified_Clostridiaceae
Selenomonadaceae	Selenomonas
Selenomonadaceae	Mitsuokella
Selenomonadaceae	Megamonas
Aggregatibacter	Aggregatibacter_segnis
Aggregatibacter	Aggregatibacter_aphrophilus
Aggregatibacter	unclassified_Aggregatibacter_species
Ruminococcaceae	Subdoligranulum
Ruminococcaceae	Pseudoflavonifractor
Ruminococcaceae	Flavonifractor
Ruminococcaceae	Faecalibacterium
Ruminococcaceae	Ruminococcus
Ruminococcaceae	unclassified_Ruminococcaceae
Ruminococcaceae	Anaerotruncus
unclassified_Clostridiales	unclassified_Clostridiales__miscellaneous
Fusobacterium	Fusobacterium_nucleatum
Fusobacterium	Fusobacterium_ulcerans
Fusobacterium	Fusobacterium_varium
Fusobacterium	Fusobacterium_periodonticum
Fusobacterium	Fusobacterium_mortiferum
Flavobacteriales	Flavobacteriaceae
Comamonas	unclassified_Comamonas_species
Eubacteriaceae	Eubacterium
Campylobacteraceae	Campylobacter
Bifidobacteriaceae	Bifidobacterium
Peptostreptococcaceae	Peptostreptococcus
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus
Peptostreptococcaceae	Peptostreptococcaceae_noname_genus
Eikenella	Eikenella_corrodens
Raoultella	Raoultella_ornithinolytica
Leptotrichia	Leptotrichia_wadei
Leptotrichia	unclassified_Leptotrichia_species
Escherichia	Escherichia_coli
Escherichia	unclassified_Escherichia_species
Coriobacteriaceae	Collinsella
Bacillales_incertae_sedis	Bacillales_Family_XI_Incertae_Sedis
Erysipelotrichaceae	Erysipelatoclostridium
Erysipelotrichaceae	Coprobacillus
Erysipelotrichaceae	Solobacterium
Erysipelotrichaceae	Turicibacter
Erysipelotrichaceae	unclassified_Erysipelotrichaceae
Erysipelotrichaceae	Holdemania
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus
Erysipelotrichaceae	Erysipelotrichaceae_noname_genus
Lactobacillaceae	Lactobacillus
Streptococcaceae	Streptococcus
Oxalobacter	Oxalobacter_formigenes
Pantoea	unclassified_Pantoea_species
Micrococcaceae	Rothia
Enterobacter	Enterobacter_cloacae_complex
Enterobacter	Enterobacter_aerogenes_species
Citrobacter	Citrobacter_freundii_complex
Citrobacter	unclassified_Citrobacter_species
Eggerthellaceae	Eggerthella
Eggerthellaceae	Adlercreutzia
Eggerthellaceae	Gordonibacter
unclassified_Burkholderiales__miscellaneous	Burkholderiales_bacterium_1_1_47
Akkermansiaceae	Akkermansia
Deinococcaceae	Deinococcus
Atopobiaceae	Olsenella
Atopobiaceae	Atopobium
Parasutterella	Parasutterella_excrementihominis
Sutterella	Sutterella_wadsworthensis
Neisseria	Neisseria_flavescens
Neisseria	Neisseria_sicca
Neisseria	unclassified_Neisseria_species
Pyramidobacter	Pyramidobacter_piscolens
Veillonellaceae	Megasphaera
Veillonellaceae	Anaeroglobus
Veillonellaceae	Veillonella
Veillonellaceae	Dialister
Clostridiales_incertae_sedis	Clostridiales_Family_XIII_Incertae_Sedis
Acidaminococcaceae	Acidaminococcus
Acidaminococcaceae	Phascolarctobacterium
Acidaminococcaceae	unclassified_Acidaminococcaceae
Haemophilus	Haemophilus_haemolyticus
Haemophilus	Haemophilus_parainfluenzae
Haemophilus	Haemophilus_paraphrohaemolyticus
Haemophilus	Haemophilus_influenzae
Haemophilus	Haemophilus_parahaemolyticus
Haemophilus	Haemophilus_sputorum
Enterococcaceae	Enterococcus
Leuconostocaceae	Weissella
Lachnospiraceae	Butyrivibrio
Lachnospiraceae	unclassified_Lachnospiraceae
Lachnospiraceae	Roseburia
Lachnospiraceae	Lachnoclostridium
Lachnospiraceae	Dorea
Lachnospiraceae	Stomatobaculum
Lachnospiraceae	Coprococcus
Lachnospiraceae	Anaerostipes
Lachnospiraceae	Blautia
Carnobacteriaceae	Granulicatella
Oscillospiraceae	Oscillibacter
Desulfovibrionaceae	Bilophila
Desulfovibrionaceae	Desulfovibrio
Lautropia	Lautropia_mirabilis
Actinomyces	Actinomyces_odontolyticus
Actinomyces	Actinomyces_graevenitzii
Staphylococcus	Staphylococcus_xylosus
Flavonifractor	Flavonifractor_plautii
Odoribacteraceae	Odoribacter
Odoribacteraceae	Butyricimonas
Faecalibacterium	Faecalibacterium_prausnitzii
Atopobium	Atopobium_parvulum
Atopobium	Atopobium_rimae
Solobacterium	Solobacterium_moorei
Eubacterium	Eubacterium_ventriosum
Eubacterium	Eubacterium_ramulus
Eubacterium	Eubacterium_eligens
Eubacterium	Eubacterium_hallii
Oscillibacter	Oscillibacter_sp_KLE_1745
Oscillibacter	unclassified_Oscillibacter_species
Pseudoflavonifractor	Pseudoflavonifractor_capillosus
Granulicatella	Granulicatella_adiacens
Granulicatella	unclassified_Granulicatella_species
Peptostreptococcaceae_noname_genus	Clostridium_difficile_species
Candidatus_Saccharibacteria_noname_family	Candidatus_Saccharibacteria_noname_genus
Erysipelotrichaceae_noname_genus	Clostridium_ramosum_species
Erysipelotrichaceae_noname_genus	Eubacterium_dolichum_species
Candidatus_Saccharibacteria_noname_family	unclassified_Candidatus_Saccharibacteria_noname_genus
Erysipelotrichaceae_noname_genus	Eubacterium_biforme_species
Bacteroidales_noname_family	Bacteroidales_noname_genus
Peptostreptococcaceae_noname_genus	Clostridium_bartlettii_species
Peptostreptococcaceae_noname_genus	unclassified_Peptostreptococcaceae_noname_species
Subdoligranulum	Subdoligranulum_variabile
Subdoligranulum	unclassified_Subdoligranulum_species
Ruminococcus	Ruminococcus_sp_5_1_39BFAA
Ruminococcus	Ruminococcus_albus
Ruminococcus	Ruminococcus_lactaris
Ruminococcus	Ruminococcus_flavefaciens
Ruminococcus	Ruminococcus_callidus
Ruminococcus	Ruminococcus_bromii
Enterobacter_cloacae_complex	Enterobacter_cloacae
Anaerotruncus	Anaerotruncus_colihominis
Anaerotruncus	unclassified_Anaerotruncus_species
Prevotellaceae	Paraprevotella
Prevotellaceae	Alloprevotella
Prevotellaceae	Prevotella
Erysipelatoclostridium	Clostridium_innocuum
Lactobacillus	Lactobacillus_gasseri
Lactobacillus	Lactobacillus_crispatus
Lactobacillus	Lactobacillus_fermentum
Lactobacillus	Lactobacillus_mucosae
Lactobacillus	Lactobacillus_vaginalis
Lactobacillus	Lactobacillus_salivarius
Lactobacillus	Lactobacillus_oris
Eggerthella	Eggerthella_lenta
Eggerthella	unclassified_Eggerthella_species
Megamonas	Megamonas_funiformis
Megamonas	Megamonas_rupellensis
Megamonas	Megamonas_hypermegale
Megamonas	unclassified_Megamonas_species
Peptostreptococcus	Peptostreptococcus_stomatis
Peptostreptococcus	unclassified_Peptostreptococcus_species
Holdemania	Holdemania_filiformis
Holdemania	unclassified_Holdemania_species
Lachnoclostridium	Clostridium_citroniae
Lachnoclostridium	Clostridium_asparagiforme
Lachnoclostridium	Clostridium_bolteae
Lachnoclostridium	Clostridium_clostridioforme
Lachnoclostridium	Clostridium_symbiosum
Dorea	Dorea_longicatena
Dorea	Dorea_formicigenerans
Dorea	unclassified_Dorea_species
Bacillales_Family_XI_Incertae_Sedis	Gemella
Deinococcus	unclassified_Deinococcus_species
Gordonibacter	Gordonibacter_pamelaeae
Mitsuokella	unclassified_Mitsuokella_species
Veillonella	Veillonella_dispar
Veillonella	Veillonella_atypica
Veillonella	Veillonella_parvula
Veillonella	unclassified_Veillonella_species
Barnesiellaceae	Barnesiella
Barnesiellaceae	Coprobacter
Roseburia	Roseburia_inulinivorans
Roseburia	Roseburia_hominis
Roseburia	Roseburia_intestinalis
Roseburia	unclassified_Roseburia_species
Megasphaera	Megasphaera_micronuciformis
Megasphaera	unclassified_Megasphaera_species
Coprobacillus	unclassified_Coprobacillus_species
unclassified_Lachnospiraceae	Eubacterium_rectale
unclassified_Lachnospiraceae	Lachnospiraceae_bacterium_6_1_63FAA
